"","Customer","Freq","Monetary","total_num_products","recency","samples_received","Customer Gender","Country","no_disc","0_25","25_abv","retail","third_party","corp","website","fragrance","skincare","bathbody","home","haircare","makeup","oral","beauty_acc","fashion_acc"
"79",1002190,1,1556.07,4,703,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"80",1002197,1,35.19,2,278,0,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"81",1002200,1,449.07,1,360,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"82",1002211,1,118.33,1,440,1,"F","SG","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"83",1002214,1,501.34,1,332,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"84",1002231,2,580.3,5,137,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No"
"85",1002253,1,113.83,2,778,0,"F","SG","No","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No"
"86",1002300,1,497.38,6,631,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No"
"87",1002306,1,217.59,1,276,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"88",1002312,1,484.11,2,751,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"89",1002351,1,57.57,1,778,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"90",1002418,1,152.78,1,290,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"91",1002433,2,1212.15,8,753,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No"
"92",1002435,1,305.56,1,463,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"93",1002441,3,1014.26,10,188,2,"F","SG","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No"
"94",1002458,1,318.55,3,688,1,"F","SG","No","Yes","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","No"
"95",1002463,4,785.46,8,475,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No"
"96",1002478,1,175.79,1,678,1,"F","SG","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"97",1002529,1,331.4,3,785,1,"Unknown","SG","No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No"
"98",1002548,2,63.29,4,192,0,"F","SG","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No"
"99",1002605,2,404.44,2,171,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"100",1002638,2,975.83,3,402,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"101",1002719,1,51.4,1,665,0,"F","SG","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
"102",1002782,1,318.33,1,387,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"103",1002788,1,37.96,1,331,0,"F","SG","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"104",1002806,1,885.09,4,212,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No"
"105",1002837,1,273.33,1,361,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"106",1002993,1,64.81,1,442,0,"F","SG","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No"
"107",1003112,2,465.83,3,324,2,"F","SG","No","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No"
"108",1003116,6,731.41,14,138,1,"F","SG","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"109",1003125,2,160.75,2,833,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","No"
"110",1003128,1,27.76,1,646,0,"F","SG","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"111",1003129,3,994.12,8,226,1,"F","SG","Yes","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No"
"112",1003139,1,313.08,1,531,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"113",1003192,2,132.86,2,293,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"114",1003203,1,245.37,1,146,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"115",1003215,4,1235.18,9,184,0,"F","SG","No","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No"
"116",1003256,1,448.6,3,544,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"117",1003267,3,342.76,3,778,0,"F","SG","No","No","No","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No"
"118",1003292,1,220,1,227,0,"F","SG","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"119",1003421,2,485.19,4,150,1,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No","No"
"120",1003435,3,235.73,4,414,2,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No"
"121",1003456,1,223.36,2,575,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"122",1003465,1,149.53,1,753,1,"F","SG","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"123",1003548,1,250,2,409,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No"
"124",1003551,1,191.59,1,738,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"125",1003579,1,305.56,1,268,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"126",1003587,2,404.25,2,251,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"127",1003595,1,265.42,1,592,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"128",1003662,3,249.61,4,217,0,"F","SG","Yes","No","No","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No"
"129",1003679,6,1210.35,11,441,5,"F","SG","No","No","No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No"
"130",1003690,1,328.04,3,849,0,"F","SG","No","Yes","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"131",1003754,1,583.18,2,720,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"132",1003831,1,320.56,2,819,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No"
"133",1003839,1,631.78,2,856,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"134",1003861,1,156.26,1,778,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"135",1003862,1,184.26,1,233,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"136",1003866,2,274.66,2,145,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No"
"137",1003920,2,666.19,3,277,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"138",1003952,1,541.12,5,548,1,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No"
"139",1003962,3,3481.68,26,332,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"140",1003997,1,620.83,2,350,1,"F","SG","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"141",1004024,1,174.07,1,184,1,"Unknown","SG","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"142",1004065,2,465.41,3,169,2,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No"
"143",1004082,1,862.5,5,443,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No"
"144",1004126,4,329.38,5,183,1,"F","SG","No","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No"
"145",1004130,2,102.8,3,834,0,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No"
"146",1004143,2,210.28,3,510,1,"F","SG","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"147",1004182,2,412.06,5,622,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"148",1004194,1,254.21,2,535,1,"F","SG","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No"
"149",1004214,3,4017.78,10,220,2,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No"
"150",1004233,1,52.34,1,528,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"151",1004237,2,503.64,2,409,1,"F","SG","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"152",1004281,2,577.04,3,227,1,"F","SG","No","No","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No"
"153",1004287,1,116.82,1,512,0,"Unknown","SG","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No"
"154",1004303,1,250.47,1,535,0,"F","SG","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"155",1004305,1,69.44,1,418,0,"F","SG","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
"156",1004312,1,155.14,1,746,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"157",1004348,2,481.02,11,693,1,"F","SG","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No"
"158",1004369,1,413.08,1,502,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"159",1004388,1,254.02,13,841,0,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No"
"160",1004414,2,554.4,2,226,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"161",1004452,3,1524.07,15,160,1,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No"
"162",1004484,5,1989.45,11,228,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
"163",1004515,1,141.59,4,752,0,"F","SG","No","No","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes","No","No","No"
"164",1004545,2,342.99,3,824,1,"F","SG","No","No","No","Yes","No","No","No","No","No","No","Yes","No","Yes","No","No","No"
"165",1004556,1,1019.91,14,710,1,"F","SG","No","No","Yes","No","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No"
"166",1004563,1,491.59,2,795,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"167",1004568,1,452.5,1,171,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"168",1004574,3,1683.18,21,514,2,"F","SG","No","No","No","No","No","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No"
"169",1004590,2,605.55,2,247,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"170",1004672,1,282.24,1,787,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"171",1004677,1,156.48,1,489,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"172",1004692,1,67.29,1,837,0,"F","SG","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"173",1004773,3,865.43,7,568,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No"
"174",1004775,2,690.19,8,653,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","No","No","No"
"175",1004820,1,500,1,407,1,"Unknown","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"176",1004831,3,741.12,5,542,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No"
"177",1004838,1,97.2,9,791,0,"F","SG","Yes","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","No","No"
"178",1004881,1,281.31,10,708,0,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No"
"179",1004906,1,506.92,3,718,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No"
"180",1004997,3,323.37,5,591,0,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No"
"181",1005020,2,526.54,3,782,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"182",1005096,1,243.93,1,780,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"183",1005107,2,2575.7,5,633,1,"F","SG","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No"
"184",1005142,3,833.65,3,676,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"185",1005162,1,424.07,1,139,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"186",1005212,2,481.79,4,339,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No"
"187",1005218,1,258.22,1,721,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"188",1005253,1,131.48,1,156,1,"F","SG","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"189",1005290,8,1178.25,15,224,3,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
"190",1005308,1,79.44,1,840,0,"F","SG","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
"191",1005324,1,305.56,1,238,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"192",1005330,1,768.52,2,149,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"193",1005365,1,508.33,2,149,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"194",1005413,1,301.87,1,689,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"195",1005427,1,82.24,2,789,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"196",1005431,2,1654.07,4,300,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No"
"197",1005437,2,210.51,3,552,0,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No"
"198",1005447,3,425.17,4,263,2,"F","SG","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"199",1005467,4,894.47,12,603,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No"
"200",1005469,1,36.45,1,537,0,"F","SG","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"201",1005480,2,248.4,3,301,1,"F","SG","No","No","No","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No"
"202",1005602,1,1667.57,9,633,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No"
"203",1005619,9,2821.22,30,257,8,"F","SG","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No"
"204",1005677,3,638.36,3,592,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"205",1005747,1,62.96,1,373,0,"F","SG","No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
"206",1005769,1,190.93,1,722,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"207",1005792,2,705.6,6,500,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","No"
"208",1005795,1,154.63,2,480,1,"F","SG","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"209",1005796,1,237.04,2,149,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","No"
"210",1005837,1,294.07,1,374,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
